O_ORDERKEY,O_CUSTKEY,O_ORDERSTATUS,O_TOTALPRICE,O_ORDERDATE,O_ORDER-PRIORITY,O_CLERK,O_SHIP-PRIORITY,O_COMMENT,Cust_name,Mrkt_segment
14981,679,F,278178.31,10/27/1993,3-MEDIUM,Clerk#000000086,0,"even, bold deposits slee",Customer#000000679,AUTOMOBILE
14982,1462,F,3197.07,3/10/1994,1-URGENT,Clerk#000000407,0,unusual accounts against the bold somas,Customer#000001462,FURNITURE
14983,1009,F,238224.37,2/12/1994,2-HIGH,Clerk#000000055,0,slyly regular pinto beans are express deposits. slyly ironic deposits,Customer#000001009,BUILDING
15008,965,O,42487.73,12/6/1997,3-MEDIUM,Clerk#000000718,0,carefully unusual ideas cajole daring,Customer#000000965,MACHINERY
15009,1160,O,162376.16,12/22/1995,4-NOT SPECIFIED,Clerk#000000176,0,ironic theodolites are fluffily about the regular id,Customer#000001160,AUTOMOBILE
15010,1151,F,175917.52,11/23/1993,5-LOW,Clerk#000000662,0,carefully even instructions boost. fluffily iron,Customer#000001151,BUILDING
15011,1318,F,117642.93,9/4/1994,3-MEDIUM,Clerk#000000545,0,fluffy courts are furiously across the slyly final instructions. ev,Customer#000001318,BUILDING
15012,1417,F,35675.73,2/8/1993,3-MEDIUM,Clerk#000000890,0,"daring, thin dependencies above the ironic instructions",Customer#000001417,FURNITURE
15013,1360,F,82310.25,4/16/1992,1-URGENT,Clerk#000000297,0,blithely final escapades haggle! depths cajole e,Customer#000001360,MACHINERY
15014,1282,F,151173.42,2/11/1993,3-MEDIUM,Clerk#000000766,0,quickly final instructions sleep carefull,Customer#000001282,FURNITURE
15015,1321,F,52032.41,11/26/1993,2-HIGH,Clerk#000000243,0,"ironic, idle package",Customer#000001321,FURNITURE
15040,697,F,191918.16,12/5/1994,5-LOW,Clerk#000000691,0,slyly regular deposits use furiously. ev,Customer#000000697,AUTOMOBILE
15041,1463,O,225501.83,3/16/1998,5-LOW,Clerk#000000231,0,packages could wake furio,Customer#000001463,MACHINERY
15042,757,O,89493.8,3/18/1996,4-NOT SPECIFIED,Clerk#000000267,0,pending accounts above the,Customer#000000757,AUTOMOBILE
15043,971,F,198367.2,9/28/1992,2-HIGH,Clerk#000000626,0,pinto beans cajole ironic attainments.,Customer#000000971,AUTOMOBILE
15044,1106,F,72322.74,3/7/1992,5-LOW,Clerk#000000743,0,bold dolphins after the slyly express sentiments haggle above,Customer#000001106,HOUSEHOLD
15045,434,F,238543.12,8/21/1993,4-NOT SPECIFIED,Clerk#000000836,0,"regular, silent accounts wake quickly",Customer#000000434,MACHINERY
15046,577,O,239624.05,9/7/1997,3-MEDIUM,Clerk#000000018,0,furiously silent accounts maintain slyly. carefully bold requests use,Customer#000000577,FURNITURE
15047,775,F,60470.55,7/23/1992,3-MEDIUM,Clerk#000000342,0,regular requests integrate quickly. packages haggle slyly regular foxes.,Customer#000000775,BUILDING
15072,1411,O,284726.05,2/26/1997,1-URGENT,Clerk#000000217,0,"regular, special sentiments cajole.",Customer#000001411,AUTOMOBILE
15073,74,F,78728.25,1/26/1992,3-MEDIUM,Clerk#000000951,0,carefully ironic packages across the slyly ironic de,Customer#000000074,MACHINERY
15074,580,F,127637.62,11/29/1994,4-NOT SPECIFIED,Clerk#000000239,0,quickly pending packages after t,Customer#000000580,BUILDING
15075,133,F,215736.81,10/5/1994,3-MEDIUM,Clerk#000000851,0,"carefully pending packages are above the unusual, unusual de",Customer#000000133,AUTOMOBILE
15076,568,O,27979.41,4/14/1996,1-URGENT,Clerk#000000626,0,"deposits haggle. ironic, ironic pi",Customer#000000568,BUILDING
15077,1378,O,273942.93,5/13/1997,1-URGENT,Clerk#000000901,0,regular requests wake fur,Customer#000001378,HOUSEHOLD
15078,28,F,234964.6,11/10/1993,2-HIGH,Clerk#000000880,0,regular requests across the enticingly fluffy requests are,Customer#000000028,FURNITURE
15079,187,F,253115.9,1/16/1993,3-MEDIUM,Clerk#000000778,0,"pending requests wake carefully regular foxes. brave, pen",Customer#000000187,FURNITURE
15104,1103,F,24852.55,3/30/1992,3-MEDIUM,Clerk#000000321,0,"packages wake carefully express, final ideas. express",Customer#000001103,AUTOMOBILE
15105,1351,F,11659.54,11/4/1994,5-LOW,Clerk#000000893,0,ideas affix along the,Customer#000001351,FURNITURE
15106,430,F,216226.87,1/28/1995,4-NOT SPECIFIED,Clerk#000000358,0,blithely final foxes by the even excu,Customer#000000430,BUILDING
15107,1238,O,247358.66,6/3/1996,5-LOW,Clerk#000000996,0,fluffily express requests shall sleep among the,Customer#000001238,BUILDING
15108,1316,F,199162.26,8/28/1994,2-HIGH,Clerk#000000906,0,busily unusual accounts nag ca,Customer#000001316,BUILDING
15109,422,F,279500.42,12/15/1993,4-NOT SPECIFIED,Clerk#000000527,0,final packages cajole blithely among the blithely express fox,Customer#000000422,HOUSEHOLD
15110,1397,F,59954.8,8/9/1993,1-URGENT,Clerk#000000176,0,fluffily regular tithes haggle carefully. slyly unusual t,Customer#000001397,AUTOMOBILE
15111,47,F,151893.26,12/18/1994,4-NOT SPECIFIED,Clerk#000000687,0,carefully ironic platelets above the slyly re,Customer#000000047,BUILDING
15136,1157,O,93110.85,1/3/1996,2-HIGH,Clerk#000000901,0,quickly final requests ab,Customer#000001157,HOUSEHOLD
15137,776,O,100326.73,4/13/1996,4-NOT SPECIFIED,Clerk#000000602,0,"ironic, unusual excuses ab",Customer#000000776,AUTOMOBILE
15138,767,F,37791.24,2/21/1995,2-HIGH,Clerk#000000004,0,furiously unusual asymptotes play around the requests-- sly,Customer#000000767,BUILDING
15139,970,F,138795.76,11/20/1994,2-HIGH,Clerk#000000173,0,carefully regular excuses integrate accounts. slyly unusual accounts wake,Customer#000000970,MACHINERY
15140,382,O,343706.27,11/1/1996,2-HIGH,Clerk#000000066,0,ironically final theodolites boost furious sauternes. regul,Customer#000000382,AUTOMOBILE
15141,379,F,140774.6,1/8/1992,3-MEDIUM,Clerk#000000887,0,furiously even requests solve slyly ag,Customer#000000379,AUTOMOBILE
15142,146,F,98203.37,4/5/1992,4-NOT SPECIFIED,Clerk#000000066,0,carefully regular pinto beans doubt. final packag,Customer#000000146,FURNITURE
15143,103,O,149306.91,5/24/1998,5-LOW,Clerk#000000200,0,furiously quick ideas above the carefully bold requests use quickly alon,Customer#000000103,BUILDING
15168,565,O,85928.15,5/9/1996,4-NOT SPECIFIED,Clerk#000000454,0,slyly regular braids arou,Customer#000000565,FURNITURE
15169,44,O,101402.01,4/11/1996,1-URGENT,Clerk#000000825,0,"slyly final requests alongside of the unusual, even dependencies wake carefu",Customer#000000044,AUTOMOBILE
15170,1376,F,78194.62,3/19/1994,1-URGENT,Clerk#000000226,0,final requests are furiously among the final requests. furiously sp,Customer#000001376,HOUSEHOLD
15171,457,O,42951.65,8/9/1996,5-LOW,Clerk#000000883,0,blithely final attainments nag never s,Customer#000000457,FURNITURE
15172,98,O,117624.97,6/21/1995,2-HIGH,Clerk#000000939,0,requests would sleep escapades. permanent deposits cajole slyly,Customer#000000098,BUILDING
15173,598,F,207736.74,3/6/1992,2-HIGH,Clerk#000000610,0,excuses cajole furiously thinly busy packages. unusual ideas haggle after t,Customer#000000598,FURNITURE
15174,16,F,73348.55,11/7/1992,2-HIGH,Clerk#000000072,0,even foxes detect. deposits affix fluffily foxes. furiously,Customer#000000016,FURNITURE
15175,1066,F,72913.19,6/29/1992,5-LOW,Clerk#000000397,0,"even, careful asymptotes boost after the quic",Customer#000001066,MACHINERY
15200,1385,F,37232.84,5/2/1994,3-MEDIUM,Clerk#000000853,0,blithely ironic pearls nag blithely,Customer#000001385,BUILDING
15201,944,O,109336.09,6/7/1995,4-NOT SPECIFIED,Clerk#000000511,0,quickly regular excuses sleep blithely quickly ir,Customer#000000944,BUILDING
15202,1355,F,371804.24,7/10/1993,2-HIGH,Clerk#000000810,0,furiously regular accounts integrate according to the fluffily,Customer#000001355,AUTOMOBILE
15203,130,O,62666.07,8/24/1996,1-URGENT,Clerk#000000946,0,"fluffily regular dugouts use carefully bold, regular excuses. quickly pending",Customer#000000130,HOUSEHOLD
15204,1157,F,14431.88,5/11/1993,2-HIGH,Clerk#000000686,0,"quickly furious packages according to the final, ev",Customer#000001157,HOUSEHOLD
15205,1427,P,313331.85,3/18/1995,2-HIGH,Clerk#000000950,0,slyly ironic deposits across the blit,Customer#000001427,AUTOMOBILE
15206,1157,F,208549.38,11/5/1993,5-LOW,Clerk#000000470,0,furiously regular accounts are blithely even the,Customer#000001157,HOUSEHOLD
15207,103,F,131209.56,10/7/1992,2-HIGH,Clerk#000000375,0,quickly even deposits to the furi,Customer#000000103,BUILDING
15232,1009,O,38488.1,1/15/1997,1-URGENT,Clerk#000000254,0,express pinto beans hinder after the blithe,Customer#000001009,BUILDING
15233,1147,F,223227.94,1/1/1993,2-HIGH,Clerk#000000199,0,blithely final forges wake carefully regular requ,Customer#000001147,HOUSEHOLD
15234,1453,F,162914.64,3/13/1993,4-NOT SPECIFIED,Clerk#000000352,0,blithely ironic accounts eat fluffi,Customer#000001453,BUILDING
15235,1400,O,126635.32,1/1/1996,5-LOW,Clerk#000000266,0,quickly final deposits haggle. furiously final pac,Customer#000001400,BUILDING
15236,790,F,158242.11,4/10/1992,4-NOT SPECIFIED,Clerk#000000440,0,pending packages boost accounts. regular ideas wake carefully c,Customer#000000790,BUILDING
15237,1232,O,39929.09,4/6/1997,5-LOW,Clerk#000000996,0,instructions sleep fluffily. regular deposits cajole carefully. quickly expre,Customer#000001232,MACHINERY
15238,611,O,92922.15,3/7/1997,5-LOW,Clerk#000000190,0,quickly express instruct,Customer#000000611,HOUSEHOLD
15239,1297,O,165395.86,4/23/1997,3-MEDIUM,Clerk#000000775,0,deposits cajole finally. foxes sleep. blithe,Customer#000001297,HOUSEHOLD
15264,568,O,152879.11,11/18/1995,3-MEDIUM,Clerk#000000443,0,packages sleep among the c,Customer#000000568,BUILDING
15265,412,O,160798.75,3/2/1996,2-HIGH,Clerk#000000897,0,accounts along the instructions snoo,Customer#000000412,BUILDING
15266,1447,F,193052.67,12/31/1992,4-NOT SPECIFIED,Clerk#000000223,0,"final, regular excuses wake s",Customer#000001447,BUILDING
15267,1306,O,9526.68,3/15/1996,4-NOT SPECIFIED,Clerk#000000232,0,idly pending deposits wake. carefully unusual asymptotes use b,Customer#000001306,MACHINERY
15268,1483,O,39867.32,7/25/1996,4-NOT SPECIFIED,Clerk#000000796,0,blithely special instructions use final ideas. carefully bold de,Customer#000001483,BUILDING
15269,313,O,118868.05,9/4/1996,4-NOT SPECIFIED,Clerk#000000425,0,"always regular accounts kindle among the regular, final p",Customer#000000313,HOUSEHOLD
15270,1357,F,56410.87,2/1/1994,4-NOT SPECIFIED,Clerk#000000934,0,carefully regular asymptotes nag. slyly,Customer#000001357,BUILDING
15271,1403,F,307957.76,7/26/1993,1-URGENT,Clerk#000000468,0,dependencies according to the blithely special instructions int,Customer#000001403,HOUSEHOLD
15296,274,F,106535.18,8/8/1992,4-NOT SPECIFIED,Clerk#000000870,0,blithely silent asymptotes,Customer#000000274,FURNITURE
15297,202,O,201763.1,7/19/1996,4-NOT SPECIFIED,Clerk#000000568,0,slyly special dependencies hinder. e,Customer#000000202,AUTOMOBILE
15298,1426,O,158200.65,9/4/1995,2-HIGH,Clerk#000000794,0,special pinto beans cajole blithely across the slyly final asymptote,Customer#000001426,HOUSEHOLD
15299,88,O,76002.05,5/6/1996,2-HIGH,Clerk#000000436,0,pending foxes sleep blithel,Customer#000000088,AUTOMOBILE
15300,964,F,215075.08,2/9/1995,2-HIGH,Clerk#000000147,0,quickly bold packages nag carefully,Customer#000000964,FURNITURE
15301,925,F,69864.88,12/27/1994,4-NOT SPECIFIED,Clerk#000000258,0,"furiously ironic deposits over the final, ironic deposits wake abov",Customer#000000925,AUTOMOBILE
15302,673,O,219603.74,7/10/1996,4-NOT SPECIFIED,Clerk#000000097,0,carefully express deposits l,Customer#000000673,MACHINERY
15303,949,F,209476.7,9/14/1993,1-URGENT,Clerk#000000085,0,blithely daring foxes,Customer#000000949,AUTOMOBILE
15328,1499,O,72202.04,1/6/1997,1-URGENT,Clerk#000000750,0,furiously slow ideas are despite the fluffily regular theodolites. sly,Customer#000001499,AUTOMOBILE
15329,598,F,120076.34,4/28/1992,2-HIGH,Clerk#000000348,0,evenly ironic foxes across the requests cajole slyly quick,Customer#000000598,FURNITURE
15330,499,F,31526.91,5/9/1993,3-MEDIUM,Clerk#000000991,0,ruthlessly special foxes cajole: quick,Customer#000000499,HOUSEHOLD
15331,1369,O,224985.64,7/8/1997,3-MEDIUM,Clerk#000000827,0,slyly even foxes haggle blithely about the furiously reg,Customer#000001369,AUTOMOBILE
15332,1420,F,67166.79,5/31/1993,4-NOT SPECIFIED,Clerk#000000451,0,carefully final packages nag. pending packages cajole above t,Customer#000001420,AUTOMOBILE
15333,511,O,254832.54,2/11/1996,5-LOW,Clerk#000000556,0,slyly even requests are carefully regular requests,Customer#000000511,FURNITURE
15334,1246,O,303093.32,2/8/1996,4-NOT SPECIFIED,Clerk#000000927,0,"bold, final platelets print regular requests. bli",Customer#000001246,BUILDING
15335,1346,F,175169.57,9/18/1993,3-MEDIUM,Clerk#000000071,0,instructions nag slyly. express dependencies sleep fluffily. pending pack,Customer#000001346,FURNITURE
15360,1075,O,97332.65,11/10/1997,4-NOT SPECIFIED,Clerk#000000208,0,ironic requests detect slyly f,Customer#000001075,BUILDING
15361,1141,F,51125.15,11/24/1994,1-URGENT,Clerk#000000239,0,"pending, even foxes sleep fluffily. ironic ideas sleep c",Customer#000001141,MACHINERY
15362,383,F,54582.89,12/3/1993,1-URGENT,Clerk#000000615,0,ideas sleep fluffily: daringly even requests cajole furiously. regular packa,Customer#000000383,MACHINERY
15363,1319,O,88125.92,7/7/1997,5-LOW,Clerk#000000068,0,regular packages sleep around the dogged asymptotes. furiously ironic pa,Customer#000001319,MACHINERY
15364,416,O,152719.67,1/15/1998,4-NOT SPECIFIED,Clerk#000000298,0,quickly regular dependencies cajole along the furiously unusual packages! furi,Customer#000000416,MACHINERY
15365,1120,O,163642.24,1/12/1998,1-URGENT,Clerk#000000018,0,slyly ironic packages engage. blithely specia,Customer#000001120,AUTOMOBILE
15366,1070,F,79586.68,12/24/1993,1-URGENT,Clerk#000000414,0,furiously unusual dependencies wake b,Customer#000001070,FURNITURE
15367,20,F,22827.57,3/16/1992,1-URGENT,Clerk#000000978,0,enticing pinto beans among t,Customer#000000020,FURNITURE
15392,101,F,35156.58,5/11/1993,5-LOW,Clerk#000000216,0,slyly express theodolites,Customer#000000101,MACHINERY
15393,421,O,44817.69,11/29/1997,3-MEDIUM,Clerk#000000320,0,"sly, furious patterns sublate about the excu",Customer#000000421,FURNITURE
15394,1282,O,106355.9,9/7/1996,5-LOW,Clerk#000000510,0,"unusual, final theodolites integrate blithely. furiously ironic asymptotes",Customer#000001282,FURNITURE
15395,4,O,37002.64,5/14/1996,3-MEDIUM,Clerk#000000290,0,special theodolites wake furiously. furiously special platelets ca,Customer#000000004,MACHINERY
15396,1489,O,161165.5,12/6/1997,1-URGENT,Clerk#000000010,0,"unusual, pending requests are around the regularly even dolphi",Customer#000001489,MACHINERY
15397,881,F,341782.09,2/7/1993,1-URGENT,Clerk#000000993,0,blithely even deposits are iro,Customer#000000881,FURNITURE
15398,811,F,61130.69,11/14/1993,4-NOT SPECIFIED,Clerk#000000181,0,fluffily even instructions affix. furiously unusual pinto beans affix caref,Customer#000000811,BUILDING
15399,1399,F,226205.72,5/14/1992,1-URGENT,Clerk#000000200,0,regular requests are ca,Customer#000001399,AUTOMOBILE
15424,211,O,39483.89,8/16/1997,4-NOT SPECIFIED,Clerk#000000451,0,furiously permanent requests cajole furiously f,Customer#000000211,BUILDING
15425,418,O,136165.56,7/26/1995,5-LOW,Clerk#000000362,0,furiously bold accou,Customer#000000418,FURNITURE
15426,814,O,152426.65,1/26/1997,2-HIGH,Clerk#000000903,0,pending accounts wake qui,Customer#000000814,BUILDING
15427,25,O,119692.58,12/16/1995,3-MEDIUM,Clerk#000000907,0,"deposits sleep unusual, regular requests. deposits haggle aft",Customer#000000025,FURNITURE
15428,676,F,204818.17,2/10/1995,1-URGENT,Clerk#000000548,0,packages wake quickly. quietly even requests,Customer#000000676,HOUSEHOLD
15429,628,O,172950.33,3/20/1997,4-NOT SPECIFIED,Clerk#000000832,0,fluffily final deposits use slyly am,Customer#000000628,FURNITURE
15430,1213,O,19020.43,3/16/1998,2-HIGH,Clerk#000000158,0,pending foxes cajole furiously. slyly ironic theodolites wake blithely,Customer#000001213,HOUSEHOLD
15431,790,F,227132.32,7/10/1992,4-NOT SPECIFIED,Clerk#000000004,0,"unusual asymptotes nod ironic, final deposits. deposits sleep furiousl",Customer#000000790,BUILDING
15456,848,F,144646.37,10/20/1993,4-NOT SPECIFIED,Clerk#000000279,0,blithely regular pinto beans play quickly regu,Customer#000000848,BUILDING
15457,916,O,99137.97,11/15/1996,2-HIGH,Clerk#000000554,0,closely unusual gifts wake quickly. furiously regular dependencies unwind qui,Customer#000000916,MACHINERY
15458,634,O,165777.68,5/25/1997,1-URGENT,Clerk#000000002,0,quickly ironic deposits against the stealthily ironic theodolit,Customer#000000634,FURNITURE
15459,532,F,112481.63,10/5/1994,5-LOW,Clerk#000000828,0,ideas cajole blithely express packages! fluffily ironic foxes would c,Customer#000000532,MACHINERY
15460,727,O,20362.18,5/31/1997,3-MEDIUM,Clerk#000000042,0,thin accounts wake. quickly regular instructions,Customer#000000727,FURNITURE
15461,730,F,60974.16,12/18/1992,1-URGENT,Clerk#000000058,0,pinto beans against the carefully bold accounts serve across,Customer#000000730,AUTOMOBILE
15462,452,F,106651.76,2/27/1995,1-URGENT,Clerk#000000731,0,"regular, pending deposits use slyly final ideas.",Customer#000000452,BUILDING
15463,889,F,216055.59,7/25/1993,5-LOW,Clerk#000000374,0,furiously final waters boost packages. furiously even instruc,Customer#000000889,FURNITURE
15488,224,O,182948.1,2/23/1997,3-MEDIUM,Clerk#000000621,0,regular ideas are slyly after the blith,Customer#000000224,BUILDING
15489,289,O,35698.99,2/11/1996,2-HIGH,Clerk#000000925,0,excuses haggle. ironic excuses among the final packages haggle f,Customer#000000289,AUTOMOBILE
15490,388,O,69734.05,9/13/1997,5-LOW,Clerk#000000129,0,slyly special theodolites wake quickly,Customer#000000388,HOUSEHOLD
15491,1471,F,187571.21,1/19/1992,3-MEDIUM,Clerk#000000851,0,"ironic, unusual decoys haggle blithely blithely final ideas. flu",Customer#000001471,AUTOMOBILE
15492,985,F,63786.62,3/7/1992,1-URGENT,Clerk#000000961,0,furiously ironic packages boost slyly. fu,Customer#000000985,HOUSEHOLD
15493,1343,O,291800.87,10/25/1996,3-MEDIUM,Clerk#000000766,0,ironic deposits haggle furiously abo,Customer#000001343,AUTOMOBILE
15494,157,O,132312.36,6/8/1997,2-HIGH,Clerk#000000090,0,express dependencies are alongside of the asymptot,Customer#000000157,BUILDING
15495,959,O,156677.84,2/18/1998,4-NOT SPECIFIED,Clerk#000000131,0,stealthily ironic asympt,Customer#000000959,FURNITURE
15520,685,O,281680.8,8/23/1997,4-NOT SPECIFIED,Clerk#000000926,0,regular requests doubt blithely pinto beans. furiously silent packages,Customer#000000685,MACHINERY
15521,301,O,48374.65,2/7/1997,4-NOT SPECIFIED,Clerk#000000149,0,slyly even theodolites boost slyly carefully express packages. instructi,Customer#000000301,HOUSEHOLD
15522,988,F,127624.35,6/11/1994,1-URGENT,Clerk#000000640,0,special asymptotes sleep outside the pending ideas. slyly regular f,Customer#000000988,FURNITURE
15523,1324,O,174823.18,4/16/1998,4-NOT SPECIFIED,Clerk#000000119,0,slyly even pinto beans must have to cajole. instructions wake a,Customer#000001324,AUTOMOBILE
15524,685,F,34658.25,5/12/1992,3-MEDIUM,Clerk#000000089,0,carefully even acco,Customer#000000685,MACHINERY
15525,364,O,32297.87,6/30/1997,4-NOT SPECIFIED,Clerk#000000248,0,"special foxes nag ironic excuses. even, silent deposits along the iro",Customer#000000364,HOUSEHOLD
15526,682,O,40905.22,2/2/1997,1-URGENT,Clerk#000000167,0,requests was furiously. furiously ironic deposits are quickly abov,Customer#000000682,AUTOMOBILE
15527,103,O,80855.79,6/14/1998,1-URGENT,Clerk#000000425,0,fluffily regular foxes haggle across the slyly,Customer#000000103,BUILDING
15552,101,O,316859.81,4/21/1996,2-HIGH,Clerk#000000263,0,furiously final instructions will have to are. ironic requ,Customer#000000101,MACHINERY
15553,379,O,78528.22,12/14/1995,1-URGENT,Clerk#000000063,0,"pending, special packages eat caref",Customer#000000379,AUTOMOBILE
15554,43,F,113893.08,1/26/1992,2-HIGH,Clerk#000000460,0,"final courts poach silent, final",Customer#000000043,MACHINERY
15555,130,O,83136.66,8/3/1997,5-LOW,Clerk#000000100,0,furiously regular asymptotes use unusual,Customer#000000130,HOUSEHOLD
15556,983,F,195781.54,6/14/1992,1-URGENT,Clerk#000000920,0,regular accounts cajole furiously afte,Customer#000000983,BUILDING
15557,964,F,85253.26,1/30/1992,1-URGENT,Clerk#000000287,0,"final, unusual theodol",Customer#000000964,FURNITURE
15558,80,O,291391.93,10/7/1997,2-HIGH,Clerk#000000011,0,furiously express hockey players sleep carefully. blithel,Customer#000000080,FURNITURE
15559,67,O,75455.68,3/16/1998,2-HIGH,Clerk#000000799,0,"even, special instructions sublate slyl",Customer#000000067,MACHINERY
15584,1339,O,42499.88,1/18/1997,1-URGENT,Clerk#000000156,0,unusual deposits detect quickly regul,Customer#000001339,MACHINERY
15585,523,O,103339.3,12/4/1996,5-LOW,Clerk#000000186,0,"pending, regular accounts affix silent, special instruction",Customer#000000523,BUILDING
15586,359,F,91069.38,12/14/1994,1-URGENT,Clerk#000000251,0,regular dependencies again,Customer#000000359,FURNITURE
15587,211,O,250330.86,3/23/1997,3-MEDIUM,Clerk#000000657,0,permanently regular deposits detect across the carefully regular depos,Customer#000000211,BUILDING
15588,575,O,121783.39,3/31/1997,1-URGENT,Clerk#000000188,0,requests alongside of the enticingly permanent packages hagg,Customer#000000575,BUILDING
15589,1019,F,56087.04,10/13/1994,4-NOT SPECIFIED,Clerk#000000882,0,final dependencies before the carefully special req,Customer#000001019,FURNITURE
15590,1468,O,136617.15,6/28/1997,1-URGENT,Clerk#000000431,0,"silent, pending deposits against the carefully silent request",Customer#000001468,BUILDING
15591,1156,F,195117.86,6/7/1992,1-URGENT,Clerk#000000269,0,regular requests affix! furiously pending instructi,Customer#000001156,HOUSEHOLD
15616,14,F,156741.85,3/24/1992,1-URGENT,Clerk#000000322,0,furiously bold patterns cajole quickly among the carefully sil,Customer#000000014,FURNITURE
15617,292,F,36879.26,8/3/1992,4-NOT SPECIFIED,Clerk#000000260,0,fluffily regular pa,Customer#000000292,HOUSEHOLD
15618,1483,F,209522.16,8/5/1993,3-MEDIUM,Clerk#000000247,0,"express, close deposits nag blithely ironic accounts. final, even deposits a",Customer#000001483,BUILDING
15619,143,O,310529.75,6/29/1995,5-LOW,Clerk#000000088,0,blithely unusual requests are furiously carefully even pack,Customer#000000143,MACHINERY
15620,217,O,42622.18,7/31/1997,2-HIGH,Clerk#000000071,0,blithely final platelets promise blithely special deposits. final,Customer#000000217,AUTOMOBILE
15621,49,O,172302.66,9/25/1995,1-URGENT,Clerk#000000388,0,packages haggle along the slyly regular excuses. fluffily regular account,Customer#000000049,FURNITURE
15622,299,O,215608.46,8/26/1995,2-HIGH,Clerk#000000570,0,blithely ironic account,Customer#000000299,HOUSEHOLD
15623,343,F,4425.23,5/4/1993,1-URGENT,Clerk#000000571,0,"pending, bold tithes affix permanently",Customer#000000343,HOUSEHOLD
15648,526,O,266660.28,3/9/1996,1-URGENT,Clerk#000000373,0,slyly final requests wake furiously. quickly regular ideas a,Customer#000000526,HOUSEHOLD
15649,832,O,74544.01,8/12/1997,1-URGENT,Clerk#000000615,0,"even, special packages cajole blithely along the requests. furio",Customer#000000832,HOUSEHOLD
15650,901,O,119356.48,9/28/1996,3-MEDIUM,Clerk#000000360,0,carefully unusual dinos sleep,Customer#000000901,HOUSEHOLD
15651,1486,F,78566.71,10/5/1992,1-URGENT,Clerk#000000592,0,"even, unusual dolphins play furiously requests. ironic foxes after the epitap",Customer#000001486,BUILDING
15652,289,F,60869.77,1/25/1993,1-URGENT,Clerk#000000260,0,"furious, ironic requ",Customer#000000289,AUTOMOBILE
15653,769,O,105924.44,5/30/1996,3-MEDIUM,Clerk#000000945,0,foxes doze among the carefully e,Customer#000000769,HOUSEHOLD
15654,1318,F,190626.19,10/3/1994,4-NOT SPECIFIED,Clerk#000000755,0,slyly special request,Customer#000001318,BUILDING
15655,1372,O,219090.23,11/23/1996,5-LOW,Clerk#000000289,0,carefully regular accounts cajole furiou,Customer#000001372,HOUSEHOLD
15680,1327,O,71189.56,1/20/1998,4-NOT SPECIFIED,Clerk#000000392,0,furiously even dolphins are busily regular req,Customer#000001327,MACHINERY
15681,998,O,128346.65,6/29/1995,2-HIGH,Clerk#000000112,0,"furiously silent deposits against the regular, expres",Customer#000000998,MACHINERY
15682,1015,O,142070.26,2/25/1996,2-HIGH,Clerk#000000452,0,quickly ironic dolphins boost about the quickly unusual,Customer#000001015,HOUSEHOLD
15683,278,F,56977.11,4/20/1992,2-HIGH,Clerk#000000083,0,carefully even braids kindle slyly. packages after the carefully ir,Customer#000000278,BUILDING
15684,641,O,236221.13,5/6/1996,3-MEDIUM,Clerk#000000680,0,carefully special accounts nag quickly across the fluffily,Customer#000000641,AUTOMOBILE
15685,1276,O,273349.88,10/27/1996,1-URGENT,Clerk#000000838,0,even dolphins haggle at the ironic theodolites. f,Customer#000001276,AUTOMOBILE
15686,680,O,182365.21,10/26/1996,3-MEDIUM,Clerk#000000436,0,"busy instructions use. bold, even packages boost quickly. caref",Customer#000000680,AUTOMOBILE
15687,52,F,196432.28,4/10/1992,1-URGENT,Clerk#000000824,0,"blithely regular packages boost. blithely regular ideas among the special, fi",Customer#000000052,HOUSEHOLD
15712,31,F,164903.09,12/5/1992,2-HIGH,Clerk#000000310,0,special foxes run furiously according to the regular,Customer#000000031,HOUSEHOLD
15713,766,O,113560.05,1/21/1996,3-MEDIUM,Clerk#000000740,0,quickly even packages nag against the theodolites.,Customer#000000766,BUILDING
15714,1378,O,153680.55,7/6/1995,2-HIGH,Clerk#000000586,0,theodolites play across the u,Customer#000001378,HOUSEHOLD
15715,1031,F,175655.24,10/16/1992,1-URGENT,Clerk#000000259,0,ironic packages nag. dependencies use. st,Customer#000001031,AUTOMOBILE
15716,1372,O,161027.41,7/29/1996,5-LOW,Clerk#000000170,0,carefully final deposits sleep,Customer#000001372,HOUSEHOLD
15717,1306,O,136280.88,3/10/1998,4-NOT SPECIFIED,Clerk#000000733,0,bold pearls detect care,Customer#000001306,MACHINERY
15718,1154,F,101691.07,1/28/1994,1-URGENT,Clerk#000000672,0,unusual accounts wake furio,Customer#000001154,BUILDING
15719,254,F,118051.13,1/19/1995,1-URGENT,Clerk#000000834,0,unusual patterns impress slyly regular asymptotes-- quietly sil,Customer#000000254,MACHINERY
15744,1213,F,58527.85,3/22/1993,1-URGENT,Clerk#000000939,0,quickly final decoys affix. blithely regular packages wake furiously.,Customer#000001213,HOUSEHOLD
15745,653,F,159320.24,7/3/1992,3-MEDIUM,Clerk#000000914,0,"express, regular pinto beans cajole above the ironic, regular excuses",Customer#000000653,BUILDING
15746,919,O,102859.55,1/15/1998,5-LOW,Clerk#000000545,0,requests cajole slyly quickly silent theodolites. slyly final ideas,Customer#000000919,MACHINERY
15747,1261,O,175818.31,3/22/1996,4-NOT SPECIFIED,Clerk#000000274,0,slyly dogged foxes are carefully.,Customer#000001261,BUILDING
